account_id,customer_id,account_type,balance,open_date,status
A0001,C0001,Current,177510,2019-04-28,Inactive
A0002,C0002,Current,89231,2019-11-12,Inactive
A0003,C0003,Current,240792,2020-07-16,Inactive
A0004,C0004,Savings,359096,2018-05-30,Inactive
A0005,C0005,Current,138585,2022-09-04,Active
A0006,C0006,Current,106014,2019-05-06,Active
A0007,C0007,Current,286134,2019-07-21,Active
A0008,C0008,Savings,89508,2020-03-25,Active
A0009,C0009,Current,199747,2021-08-06,Inactive
A0010,C0010,Current,135649,2022-03-06,Inactive
A0011,C0011,Current,182399,2019-04-02,Active
A0012,C0012,Current,338268,2022-10-06,Active
A0013,C0013,Savings,137091,2019-07-30,Inactive
A0014,C0014,Savings,271796,2022-05-17,Active
A0015,C0015,Savings,451429,2019-10-29,Active
A0016,C0016,Current,299625,2022-06-20,Inactive
A0017,C0017,Savings,462879,2019-09-03,Active
A0018,C0018,Savings,86362,2020-12-11,Active
A0019,C0019,Savings,239027,2023-06-04,Active
A0020,C0020,Savings,171979,2020-01-30,Active
A0021,C0021,Current,265466,2018-07-20,Inactive
A0022,C0022,Current,100295,2022-06-26,Inactive
A0023,C0023,Savings,19281,2020-06-13,Inactive
A0024,C0024,Current,53575,2020-06-01,Active
A0025,C0025,Current,206632,2019-12-31,Active
A0026,C0026,Current,190232,2021-04-08,Inactive
A0027,C0027,Savings,97644,2020-02-19,Inactive
A0028,C0028,Savings,259838,2021-06-07,Inactive
A0029,C0029,Savings,405724,2022-02-26,Inactive
A0030,C0030,Savings,389344,2022-11-21,Inactive
A0031,C0031,Current,78967,2019-09-01,Inactive
A0032,C0032,Savings,277503,2022-12-30,Inactive
A0033,C0033,Current,440882,2022-08-09,Inactive
A0034,C0034,Current,237630,2022-11-12,Active
A0035,C0035,Savings,496272,2021-06-20,Inactive
A0036,C0036,Savings,311455,2023-03-29,Active
A0037,C0037,Current,224400,2022-03-05,Active
A0038,C0038,Current,395246,2019-12-17,Inactive
A0039,C0039,Savings,433446,2018-11-08,Active
A0040,C0040,Savings,407918,2023-01-10,Active
A0041,C0041,Savings,220118,2020-06-19,Inactive
A0042,C0042,Savings,135462,2018-11-27,Active
A0043,C0043,Current,98461,2021-10-29,Active
A0044,C0044,Current,318995,2023-05-14,Active
A0045,C0045,Savings,305150,2019-08-16,Active
A0046,C0046,Savings,378828,2020-09-28,Inactive
A0047,C0047,Savings,229355,2018-10-06,Active
A0048,C0048,Current,125521,2021-06-16,Inactive
A0049,C0049,Current,186567,2021-01-13,Active
A0050,C0050,Savings,165516,2022-10-01,Active
A0051,C0051,Savings,256293,2020-09-28,Active
A0052,C0052,Savings,147109,2021-12-19,Inactive
A0053,C0053,Current,259326,2022-08-10,Inactive
A0054,C0054,Savings,21080,2019-11-19,Inactive
A0055,C0055,Current,334314,2020-04-25,Inactive
A0056,C0056,Savings,309775,2018-10-21,Active
A0057,C0057,Current,76021,2021-11-25,Active
A0058,C0058,Current,382171,2018-10-25,Inactive
A0059,C0059,Savings,109288,2018-06-09,Inactive
A0060,C0060,Savings,356736,2020-02-26,Active
A0061,C0061,Savings,412586,2023-05-17,Inactive
A0062,C0062,Savings,45046,2020-04-04,Inactive
A0063,C0063,Savings,71068,2021-12-11,Active
A0064,C0064,Current,186474,2019-03-05,Inactive
A0065,C0065,Current,85699,2019-05-26,Active
A0066,C0066,Savings,450046,2018-11-24,Active
A0067,C0067,Savings,99656,2022-09-16,Active
A0068,C0068,Savings,114574,2020-07-01,Inactive
A0069,C0069,Current,171884,2018-08-14,Inactive
A0070,C0070,Current,400721,2019-11-14,Active
A0071,C0071,Current,343226,2020-02-04,Inactive
A0072,C0072,Current,407235,2022-01-15,Active
A0073,C0073,Current,244018,2023-03-12,Active
A0074,C0074,Current,225668,2023-05-01,Inactive
A0075,C0075,Current,318155,2022-09-03,Inactive
A0076,C0076,Savings,219216,2022-12-10,Active
A0077,C0077,Savings,471299,2020-01-12,Active
A0078,C0078,Savings,364104,2023-01-15,Active
A0079,C0079,Current,5672,2020-05-23,Inactive
A0080,C0080,Current,331212,2020-03-19,Active
A0081,C0081,Current,291124,2019-06-16,Active
A0082,C0082,Current,218731,2020-02-16,Inactive
A0083,C0083,Current,219580,2019-05-14,Active
A0084,C0084,Current,455582,2020-02-27,Inactive
A0085,C0085,Current,337365,2020-08-14,Active
A0086,C0086,Current,453486,2021-12-11,Inactive
A0087,C0087,Savings,435745,2021-01-09,Inactive
A0088,C0088,Savings,373289,2020-02-03,Inactive
A0089,C0089,Current,52797,2021-10-27,Inactive
A0090,C0090,Savings,263760,2022-12-08,Inactive
