customer_id,credit_score,risk_category,score_date
C0001,648,Medium Risk,2023-05-03
C0002,875,Very Low Risk,2023-10-13
C0003,349,High Risk,2023-10-14
C0004,744,Low Risk,2023-09-05
C0005,308,High Risk,2023-09-12
C0006,415,High Risk,2023-11-21
C0007,738,Low Risk,2023-09-08
C0008,820,Very Low Risk,2023-08-14
C0009,775,Very Low Risk,2023-10-10
C0010,838,Very Low Risk,2023-06-13
C0011,606,Medium Risk,2023-01-28
C0012,300,High Risk,2023-02-17
C0013,383,High Risk,2023-11-01
C0014,310,High Risk,2023-05-11
C0015,304,High Risk,2023-09-09
C0016,552,Medium Risk,2023-02-06
C0017,737,Low Risk,2023-09-27
C0018,846,Very Low Risk,2023-10-07
C0019,382,High Risk,2023-07-04
C0020,834,Very Low Risk,2023-09-02
C0021,425,High Risk,2023-04-01
C0022,394,High Risk,2023-04-12
C0023,683,Low Risk,2023-03-14
C0024,304,High Risk,2023-11-17
C0025,612,Medium Risk,2023-10-07
C0026,418,High Risk,2023-11-22
C0027,706,Low Risk,2023-07-16
C0028,836,Very Low Risk,2023-04-04
C0029,671,Low Risk,2023-11-05
C0030,647,Medium Risk,2023-01-16
C0031,513,High Risk,2023-12-08
C0032,525,High Risk,2023-12-22
C0033,609,Medium Risk,2023-12-16
C0034,662,Low Risk,2023-03-14
C0035,655,Low Risk,2023-09-05
C0036,308,High Risk,2023-07-10
C0037,550,Medium Risk,2023-02-26
C0038,354,High Risk,2023-11-08
C0039,813,Very Low Risk,2023-09-08
C0040,334,High Risk,2023-11-15
C0041,374,High Risk,2023-04-27
C0042,545,High Risk,2023-11-08
C0043,315,High Risk,2023-06-21
C0044,789,Very Low Risk,2023-01-17
C0045,462,High Risk,2023-10-15
C0046,681,Low Risk,2023-12-08
C0047,309,High Risk,2023-05-02
C0048,466,High Risk,2023-05-17
C0049,412,High Risk,2023-09-24
C0050,468,High Risk,2023-01-09
C0051,705,Low Risk,2023-01-19
C0052,305,High Risk,2023-07-24
C0053,799,Very Low Risk,2023-12-31
C0054,712,Low Risk,2023-07-27
C0055,475,High Risk,2023-03-22
C0056,411,High Risk,2023-04-30
C0057,635,Medium Risk,2023-01-04
C0058,552,Medium Risk,2023-04-09
C0059,407,High Risk,2023-01-18
C0060,385,High Risk,2023-11-25
C0061,621,Medium Risk,2023-04-02
C0062,461,High Risk,2023-11-13
C0063,538,High Risk,2023-02-16
C0064,459,High Risk,2023-11-15
C0065,717,Low Risk,2023-09-08
C0066,490,High Risk,2023-05-16
C0067,419,High Risk,2023-08-06
C0068,713,Low Risk,2023-08-17
C0069,666,Low Risk,2023-12-04
C0070,807,Very Low Risk,2023-07-17
C0071,333,High Risk,2023-05-07
C0072,483,High Risk,2023-03-06
C0073,688,Low Risk,2023-12-10
C0074,891,Very Low Risk,2023-01-29
C0075,853,Very Low Risk,2023-09-23
C0076,531,High Risk,2023-04-16
C0077,349,High Risk,2023-10-22
C0078,756,Very Low Risk,2023-01-15
C0079,576,Medium Risk,2023-02-18
C0080,783,Very Low Risk,2023-10-15
C0081,491,High Risk,2023-11-17
C0082,625,Medium Risk,2023-04-26
C0083,749,Low Risk,2023-02-02
C0084,816,Very Low Risk,2023-11-02
C0085,579,Medium Risk,2023-12-09
C0086,625,Medium Risk,2023-03-18
C0087,546,High Risk,2023-09-05
C0088,878,Very Low Risk,2023-02-26
C0089,308,High Risk,2023-07-17
C0090,544,High Risk,2023-06-05
C0091,804,Very Low Risk,2023-06-21
C0092,616,Medium Risk,2024-01-01
C0093,419,High Risk,2023-03-29
C0094,319,High Risk,2023-07-09
C0095,842,Very Low Risk,2023-04-24
C0096,453,High Risk,2023-08-12
C0097,477,High Risk,2023-10-17
C0098,813,Very Low Risk,2023-02-13
C0099,445,High Risk,2023-02-23
C0100,424,High Risk,2023-11-20
C0101,618,Medium Risk,2023-02-14
C0102,867,Very Low Risk,2023-02-06
C0103,866,Very Low Risk,2023-06-25
C0104,403,High Risk,2023-12-30
C0105,326,High Risk,2023-04-07
C0106,724,Low Risk,2023-08-31
C0107,582,Medium Risk,2023-02-20
C0108,739,Low Risk,2023-07-23
C0109,876,Very Low Risk,2023-07-17
C0110,337,High Risk,2023-01-06
C0111,626,Medium Risk,2023-04-10
C0112,452,High Risk,2023-04-06
C0113,575,Medium Risk,2023-09-05
C0114,716,Low Risk,2023-10-17
C0115,873,Very Low Risk,2023-02-25
C0116,894,Very Low Risk,2023-05-25
C0117,612,Medium Risk,2023-01-17
C0118,853,Very Low Risk,2023-08-13
C0119,491,High Risk,2023-06-11
C0120,704,Low Risk,2023-05-20
C0121,741,Low Risk,2023-04-18
C0122,761,Very Low Risk,2023-10-31
C0123,460,High Risk,2023-07-04
C0124,354,High Risk,2023-09-19
C0125,698,Low Risk,2023-12-02
C0126,526,High Risk,2023-12-16
C0127,776,Very Low Risk,2023-01-03
C0128,442,High Risk,2023-06-14
C0129,480,High Risk,2023-09-24
C0130,529,High Risk,2023-07-27
C0131,501,High Risk,2023-03-12
C0132,397,High Risk,2023-05-08
C0133,432,High Risk,2023-12-18
C0134,412,High Risk,2023-12-06
C0135,523,High Risk,2023-11-12
C0136,729,Low Risk,2023-07-24
C0137,481,High Risk,2023-06-17
C0138,550,Medium Risk,2023-06-05
C0139,726,Low Risk,2023-06-02
C0140,790,Very Low Risk,2023-10-16
C0141,839,Very Low Risk,2023-02-19
C0142,329,High Risk,2023-02-19
C0143,482,High Risk,2023-08-05
C0144,627,Medium Risk,2023-09-18
C0145,633,Medium Risk,2023-10-18
C0146,826,Very Low Risk,2023-03-28
C0147,577,Medium Risk,2023-01-30
C0148,523,High Risk,2023-05-13
C0149,533,High Risk,2023-02-07
C0150,522,High Risk,2023-10-02
C0151,848,Very Low Risk,2023-07-13
C0152,303,High Risk,2023-04-23
C0153,330,High Risk,2023-06-11
C0154,844,Very Low Risk,2023-09-15
C0155,596,Medium Risk,2023-06-28
C0156,892,Very Low Risk,2023-08-27
C0157,794,Very Low Risk,2023-07-23
C0158,514,High Risk,2023-10-07
C0159,733,Low Risk,2023-05-16
C0160,775,Very Low Risk,2023-05-14
C0161,499,High Risk,2023-06-17
C0162,532,High Risk,2023-07-15
C0163,695,Low Risk,2023-04-24
C0164,551,Medium Risk,2023-04-04
C0165,312,High Risk,2023-08-03
C0166,633,Medium Risk,2023-05-13
C0167,367,High Risk,2023-11-17
C0168,761,Very Low Risk,2023-07-21
C0169,345,High Risk,2023-09-25
C0170,826,Very Low Risk,2023-01-25
C0171,725,Low Risk,2023-01-05
C0172,393,High Risk,2023-08-23
C0173,557,Medium Risk,2023-09-18
C0174,342,High Risk,2023-01-17
C0175,504,High Risk,2023-01-31
C0176,708,Low Risk,2023-03-06
C0177,820,Very Low Risk,2023-02-23
C0178,351,High Risk,2023-05-06
C0179,785,Very Low Risk,2023-05-10
C0180,444,High Risk,2023-09-07
C0181,446,High Risk,2023-01-28
C0182,504,High Risk,2023-09-28
C0183,726,Low Risk,2023-01-23
C0184,364,High Risk,2023-06-28
C0185,455,High Risk,2023-05-21
C0186,430,High Risk,2023-03-09
C0187,369,High Risk,2023-11-15
C0188,689,Low Risk,2023-07-20
C0189,553,Medium Risk,2023-03-26
C0190,545,High Risk,2023-05-31
C0191,322,High Risk,2023-08-08
C0192,325,High Risk,2023-01-02
C0193,383,High Risk,2023-09-12
C0194,395,High Risk,2023-08-24
C0195,529,High Risk,2023-05-15
C0196,694,Low Risk,2023-05-29
C0197,627,Medium Risk,2023-07-13
C0198,367,High Risk,2023-07-31
C0199,373,High Risk,2023-12-21
C0200,800,Very Low Risk,2023-11-09
C0201,881,Very Low Risk,2023-11-07
C0202,628,Medium Risk,2023-11-11
C0203,496,High Risk,2023-06-15
C0204,824,Very Low Risk,2023-09-09
C0205,636,Medium Risk,2023-11-01
C0206,658,Low Risk,2023-04-28
C0207,616,Medium Risk,2023-11-07
C0208,583,Medium Risk,2023-04-03
C0209,477,High Risk,2023-12-23
C0210,671,Low Risk,2023-06-06
C0211,708,Low Risk,2023-01-06
C0212,309,High Risk,2023-07-09
C0213,480,High Risk,2023-02-09
C0214,397,High Risk,2023-07-22
C0215,592,Medium Risk,2023-12-22
C0216,870,Very Low Risk,2023-10-30
C0217,582,Medium Risk,2023-03-30
C0218,555,Medium Risk,2023-01-06
C0219,591,Medium Risk,2023-10-16
C0220,733,Low Risk,2023-09-28
C0221,605,Medium Risk,2023-05-19
C0222,722,Low Risk,2023-10-07
C0223,791,Very Low Risk,2023-06-09
C0224,322,High Risk,2023-07-05
C0225,470,High Risk,2023-02-05
C0226,540,High Risk,2023-04-05
C0227,822,Very Low Risk,2023-05-10
C0228,832,Very Low Risk,2023-09-30
C0229,421,High Risk,2023-05-08
C0230,731,Low Risk,2023-04-27
C0231,821,Very Low Risk,2023-03-06
C0232,343,High Risk,2023-05-08
C0233,824,Very Low Risk,2023-02-28
C0234,503,High Risk,2023-11-11
C0235,500,High Risk,2023-06-26
C0236,460,High Risk,2023-07-05
C0237,750,Very Low Risk,2023-11-10
C0238,808,Very Low Risk,2023-03-07
C0239,533,High Risk,2023-01-03
C0240,332,High Risk,2023-07-15
C0241,867,Very Low Risk,2023-04-14
C0242,626,Medium Risk,2023-03-04
C0243,548,High Risk,2023-01-30
C0244,484,High Risk,2023-07-08
C0245,303,High Risk,2023-03-10
C0246,756,Very Low Risk,2023-07-21
C0247,449,High Risk,2023-07-02
C0248,308,High Risk,2023-08-29
C0249,301,High Risk,2023-10-05
C0250,533,High Risk,2023-08-22
C0251,502,High Risk,2023-08-07
C0252,363,High Risk,2023-11-26
C0253,850,Very Low Risk,2023-02-06
C0254,813,Very Low Risk,2023-01-16
C0255,493,High Risk,2023-05-08
C0256,447,High Risk,2023-05-05
C0257,345,High Risk,2023-08-30
C0258,589,Medium Risk,2023-07-05
C0259,874,Very Low Risk,2023-05-11
C0260,533,High Risk,2023-05-21
C0261,784,Very Low Risk,2023-02-15
C0262,710,Low Risk,2023-03-27
C0263,475,High Risk,2023-06-01
C0264,407,High Risk,2023-06-30
C0265,569,Medium Risk,2023-08-03
C0266,303,High Risk,2023-02-01
C0267,436,High Risk,2023-04-03
C0268,444,High Risk,2023-11-12
C0269,520,High Risk,2023-06-06
C0270,524,High Risk,2023-10-17
C0271,324,High Risk,2023-08-11
C0272,840,Very Low Risk,2023-05-28
C0273,513,High Risk,2023-11-13
C0274,345,High Risk,2023-03-14
C0275,688,Low Risk,2023-07-10
