loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,approval_status,loan_start_date
L0001,C5018,Vehicle Loan,3868763,13.49,120,Rejected,2022-06-07
L0002,C1473,Personal Loan,4604124,13.08,60,Approved,2022-07-23
L0003,C4459,Education Loan,4742994,17.7,60,Approved,2021-05-18
L0004,C1919,Vehicle Loan,374286,11.18,24,Approved,2021-02-04
L0005,C4913,Home Loan,3825602,9.41,24,Approved,2019-11-08
L0006,C5673,Vehicle Loan,4163949,7.98,12,Approved,2021-02-15
L0007,C5475,Personal Loan,3988542,9.1,120,Approved,2021-12-16
L0008,C6593,Vehicle Loan,2945323,15.51,24,Approved,2021-04-04
L0009,C5635,Personal Loan,1588007,8.73,120,Approved,2020-04-17
L0010,C0811,Home Loan,4156028,14.65,240,Approved,2022-11-17
L0011,C0694,Home Loan,2943962,10.72,60,Approved,2021-04-10
L0012,C1623,Personal Loan,76216,12.46,120,Approved,2019-05-06
L0013,C5823,Personal Loan,419661,17.86,24,Approved,2021-12-26
L0014,C0694,Education Loan,1372437,8.89,60,Approved,2019-04-02
L0015,C3369,Home Loan,2854239,17.25,120,Rejected,2021-08-26
L0016,C5496,Home Loan,4093717,10.43,240,Approved,2022-05-11
L0017,C1115,Home Loan,4849981,11.81,120,Rejected,2022-05-04
L0018,C3068,Home Loan,1641274,11.86,60,Approved,2021-08-24
L0019,C5619,Personal Loan,2025737,9.82,24,Rejected,2021-02-23
L0020,C4391,Vehicle Loan,291740,15.38,60,Rejected,2021-07-25
L0021,C5976,Personal Loan,3914142,17.7,36,Approved,2022-05-10
L0022,C0034,Personal Loan,1332984,11.33,240,Approved,2020-08-03
L0023,C4459,Personal Loan,3064178,9.18,12,Approved,2022-05-10
L0024,C3630,Vehicle Loan,311443,14.41,12,Approved,2022-04-10
L0025,C1296,Vehicle Loan,1317354,8.74,24,Approved,2020-11-21
L0026,C2111,Home Loan,3871917,17.38,60,Approved,2022-11-02
L0027,C6090,Personal Loan,3079709,13.93,240,Approved,2019-10-23
L0028,C5086,Personal Loan,3689454,10.69,240,Approved,2021-08-05
L0029,C0667,Education Loan,758489,17.86,120,Rejected,2022-06-01
L0030,C5533,Personal Loan,4931449,7.8,12,Approved,2019-06-11
L0031,C4756,Education Loan,1256703,10.08,240,Approved,2022-07-07
L0032,C5429,Personal Loan,165066,11.32,240,Approved,2021-05-25
L0033,C5887,Personal Loan,4997550,9.26,12,Rejected,2022-12-21
L0034,C5089,Home Loan,2411388,17.9,24,Approved,2020-05-28
L0035,C5750,Vehicle Loan,4739609,9.47,120,Approved,2022-08-31
L0036,C6676,Personal Loan,1475639,10.96,60,Approved,2021-09-30
L0037,C0846,Vehicle Loan,4193015,17.87,240,Approved,2020-12-06
L0038,C3183,Home Loan,4561663,11.31,240,Approved,2022-02-20
L0039,C0729,Vehicle Loan,141505,11.59,36,Approved,2021-02-03
L0040,C3098,Vehicle Loan,3486766,16.71,60,Approved,2019-10-02
L0041,C5976,Home Loan,3297717,17.27,36,Approved,2020-09-08
L0042,C0652,Education Loan,2679414,15.25,60,Approved,2022-08-11
L0043,C4786,Personal Loan,2710150,13.29,36,Approved,2019-11-23
L0044,C6810,Home Loan,3739227,13.68,36,Approved,2020-07-24
L0045,C5240,Personal Loan,2621473,17.72,36,Approved,2020-09-29
L0046,C6172,Personal Loan,1081184,15.36,36,Approved,2021-12-07
L0047,C4377,Vehicle Loan,1153085,7.52,24,Approved,2019-04-21
L0048,C0459,Vehicle Loan,2990544,7.55,24,Approved,2020-09-27
L0049,C3075,Education Loan,824465,17.39,120,Approved,2019-12-22
L0050,C6700,Personal Loan,1140497,17.94,12,Approved,2021-11-02
L0051,C3086,Home Loan,2573535,8.16,120,Approved,2020-09-18
L0052,C6075,Vehicle Loan,4004337,16.56,12,Approved,2022-10-03
L0053,C2692,Home Loan,2513305,13.66,60,Approved,2020-03-30
L0054,C1227,Vehicle Loan,4786031,11.76,240,Approved,2022-02-27
L0055,C0173,Home Loan,3696858,17.5,60,Approved,2021-08-10
L0056,C1998,Education Loan,331974,13.48,240,Approved,2022-08-05
L0057,C1261,Personal Loan,807068,17.69,24,Rejected,2022-03-27
L0058,C6870,Personal Loan,1321300,10.88,36,Approved,2022-08-22
L0059,C1451,Home Loan,3569613,11.31,120,Approved,2021-02-17
L0060,C2881,Home Loan,1903936,11.07,24,Rejected,2019-05-05
L0061,C0659,Vehicle Loan,801386,15.37,60,Approved,2021-12-10
L0062,C4661,Personal Loan,3275963,13.22,12,Approved,2022-08-16
L0063,C1109,Education Loan,2093167,10.51,60,Approved,2022-04-01
L0064,C1594,Personal Loan,248427,10.56,240,Approved,2020-07-02
L0065,C2898,Home Loan,2830839,10.97,12,Approved,2022-10-15
L0066,C3347,Education Loan,3171336,8.07,36,Rejected,2019-08-20
L0067,C6493,Personal Loan,1637034,15.3,60,Approved,2019-03-24
L0068,C6760,Vehicle Loan,330990,11.45,24,Approved,2022-03-31
L0069,C6627,Vehicle Loan,1860033,8.21,60,Approved,2022-06-04
L0070,C2351,Vehicle Loan,1730853,12.37,60,Approved,2020-08-22
L0071,C3223,Personal Loan,3680140,11.41,24,Rejected,2019-06-08
L0072,C5563,Personal Loan,4079094,11.78,24,Approved,2021-03-24
L0073,C0726,Home Loan,989175,12.62,240,Approved,2022-11-20
L0074,C1104,Personal Loan,2169115,16.51,120,Approved,2019-09-11
