payment_id,loan_id,due_date,payment_date,amount_paid,payment_status
P000001,L4924,2023-03-21,2023-03-21,42474,Paid
P000002,L8498,2021-08-31,2021-08-31,20622,Paid
P000003,L2038,2022-09-18,2022-09-18,46888,Paid
P000004,L5760,2022-10-28,,11956,Missed
P000005,L0135,2023-12-04,2023-12-24,4733,Delayed
P000006,L6891,2020-11-12,2020-11-12,42912,Paid
P000007,L1592,2022-04-18,2022-04-18,4600,Paid
P000008,L3029,2022-02-15,2022-02-15,19652,Paid
P000009,L7562,2022-12-15,2022-12-20,8844,Delayed
P000010,L4956,2022-10-31,2022-11-05,14398,Delayed
P000011,L4985,2020-02-18,2020-02-23,27380,Delayed
P000012,L3301,2021-08-22,,7800,Missed
P000013,L6930,2021-12-09,2021-12-14,48904,Delayed
P000014,L5473,2023-08-25,2023-08-30,5186,Delayed
P000015,L5856,2022-06-11,,37072,Missed
P000016,L4779,2022-01-28,,28592,Missed
P000017,L2824,2020-03-10,,40245,Missed
P000018,L8689,2020-05-07,2020-05-07,29020,Paid
P000019,L1019,2022-03-07,2022-03-27,34137,Delayed
P000020,L3980,2020-11-01,2020-11-06,47908,Delayed
P000021,L3007,2023-06-09,,29279,Missed
P000022,L2884,2023-05-03,2023-05-08,44320,Delayed
P000023,L4032,2020-03-25,2020-03-25,47231,Paid
P000024,L5289,2022-09-12,,2872,Missed
P000025,L1403,2023-08-05,2023-08-10,43055,Delayed
P000026,L2035,2022-10-08,2022-10-13,14704,Delayed
P000027,L8691,2021-08-06,2021-08-26,10158,Delayed
P000028,L4530,2020-03-20,2020-03-25,47897,Delayed
P000029,L1923,2020-05-28,2020-05-28,42929,Paid
P000030,L7555,2021-09-10,2021-09-20,47897,Delayed
P000031,L8004,2022-03-08,2022-03-18,46644,Delayed
P000032,L4017,2022-05-22,2022-05-22,5197,Paid
P000033,L2316,2023-06-30,2023-07-10,30357,Delayed
P000034,L3706,2023-08-21,2023-08-21,45000,Paid
P000035,L3892,2021-07-29,2021-07-29,41543,Paid
P000036,L1195,2022-05-31,2022-06-20,23824,Delayed
P000037,L6818,2021-06-13,2021-06-13,2662,Paid
P000038,L3442,2022-02-10,2022-02-10,21508,Paid
P000039,L3402,2020-03-05,,39568,Missed
P000040,L0752,2023-07-06,2023-07-06,49656,Paid
P000041,L0468,2023-04-29,,42095,Missed
P000042,L6226,2022-04-24,2022-04-24,21065,Paid
P000043,L5781,2020-07-10,2020-07-20,44662,Delayed
P000044,L5758,2023-08-27,2023-09-16,42893,Delayed
P000045,L3604,2021-11-06,2021-11-16,23550,Delayed
P000046,L8422,2021-09-18,2021-09-23,21623,Delayed
P000047,L8965,2022-06-08,2022-06-13,22304,Delayed
P000048,L7396,2021-12-08,2021-12-18,34984,Delayed
P000049,L5823,2020-08-26,,11707,Missed
P000050,L5917,2021-12-10,2021-12-10,44638,Paid
P000051,L5550,2020-01-24,2020-01-24,19912,Paid
P000052,L6339,2020-06-23,2020-07-13,24502,Delayed
P000053,L8613,2020-12-10,2020-12-10,1984,Paid
P000054,L4319,2020-09-16,2020-10-06,3267,Delayed
P000055,L8715,2023-12-29,2023-12-29,41503,Paid
P000056,L4697,2023-01-29,2023-02-03,11010,Delayed
P000057,L2996,2020-01-02,2020-01-12,23993,Delayed
P000058,L5975,2021-08-04,2021-08-04,35721,Paid
P000059,L5469,2020-11-14,,4337,Missed
P000060,L3837,2021-03-24,2021-03-24,24653,Paid
P000061,L0382,2021-07-23,2021-07-23,32350,Paid
P000062,L6773,2021-10-22,,25577,Missed
P000063,L6192,2023-02-15,2023-02-20,26046,Delayed
P000064,L4158,2022-05-16,2022-05-21,33569,Delayed
P000065,L7657,2020-12-05,2020-12-05,34979,Paid
P000066,L4668,2020-06-28,2020-07-18,34039,Delayed
P000067,L4428,2022-10-20,2022-10-20,44535,Paid
P000068,L7615,2022-03-14,2022-03-19,33821,Delayed
P000069,L3175,2022-04-15,2022-04-15,17762,Paid
P000070,L0447,2020-05-19,2020-05-29,14190,Delayed
P000071,L7833,2021-08-02,2021-08-12,6050,Delayed
P000072,L5760,2020-09-16,2020-09-16,49717,Paid
P000073,L8743,2023-02-28,2023-03-10,1636,Delayed
P000074,L3704,2020-02-07,,37738,Missed
P000075,L2976,2020-05-20,2020-06-09,26261,Delayed
P000076,L6092,2022-09-14,2022-09-19,46728,Delayed
P000077,L5714,2021-04-22,2021-04-22,10285,Paid
P000078,L3489,2022-01-18,2022-01-18,12608,Paid
P000079,L0316,2021-12-04,2021-12-14,29536,Delayed
P000080,L3847,2020-09-18,2020-09-18,19634,Paid
P000081,L5471,2023-12-08,2023-12-18,19416,Delayed
P000082,L7675,2020-03-30,2020-04-04,36852,Delayed
P000083,L6284,2020-10-15,2020-11-04,33614,Delayed
